# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
yong jiu 	永久	c=1 d=2.89218e-53 t=50309
yong lai 	用來	c=1 d=3.08746e-57 t=50309
yong le 	永樂	c=1 d=2.69473e-74 t=50309
yong li 	用例	c=35 d=1.23324e-15 t=50309
yong li 	用力	c=1 d=2.53203e-106 t=50309
yong long 	永隆	c=1 d=4.0577e-66 t=50309
yong pan gao feng 	勇攀高峯	c=1 d=1.88632e-25 t=50309
yong qi 	勇氣	c=1 d=5.37544e-51 t=50309
yong qi lai 	用起來	c=1 d=4.83881e-49 t=50309
yong ru 	涌入	c=1 d=9.27871e-32 t=50309
yong shang 	用上	c=2 d=1.92097e-92 t=50309
yong suo 	用鎖	c=1 d=5.34334e-10 t=50309
yong xin 	用心	c=1 d=2.49094e-90 t=50309
yong you 	擁有	c=6 d=1.63138e-52 t=50309
yong yuan 	永遠	c=5 d=0.188247 t=50309
yong zhe 	用着	c=1 d=5.27831e-13 t=50309
you 	優	c=1 d=3.3336e-77 t=50309
you 	又	c=69 d=0.654296 t=50309
you 	右	c=16 d=0.0333733 t=50309
you 	有	c=1 d=2.5513e-107 t=50309
you 	油	c=4 d=1.36789e-09 t=50309
you 	由	c=9 d=0.000214651 t=50309
you bian 	右邊	c=8 d=2.62723e-10 t=50309
you cang 	油藏	c=1 d=9.70353e-88 t=50309
you che 	有車	c=1 d=3.8839e-51 t=50309
you ci 	由此	c=1 d=6.42702e-06 t=50309
you dao 	有道	c=1 d=5.20382e-81 t=50309
you dao li 	有道理	c=1 d=5.99723e-74 t=50309
you de 	有得	c=1 d=1.48424e-87 t=50309
you dian 	優點	c=5 d=5.70717e-80 t=50309
you dian 	有點	c=95 d=1.31854 t=50309
you du 	有毒	c=2 d=9.04039e-20 t=50309
you e 	又餓	c=1 d=3.78748e-20 t=50309
you er 	右耳	c=1 d=1.71858e-47 t=50309
you ge 	有個	c=5 d=3.70605e-29 t=50309
you ge ren 	有個人	c=1 d=0.0213864 t=50309
you guan 	有關	c=3 d=5.79487e-09 t=50309
you guan xi 	有關係	c=1 d=2.12718e-27 t=50309
you hai 	有害	c=1 d=1.39135e-62 t=50309
you hao 	友好	c=1 d=5.95939e-29 t=50309
you hua 	優化	c=17 d=2.23537e-08 t=50309
you hua qi 	優化器	c=2 d=3.92242e-08 t=50309
you hui 	優惠	c=1 d=2.01684e-18 t=50309
you huo 	誘惑	c=1 d=0.000224867 t=50309
you ji hui 	有機會	c=2 d=9.33982e-21 t=50309
you jian 	右鍵	c=2 d=1.86431e-34 t=50309
you jian 	郵件	c=1 d=3.73924e-75 t=50309
you ke neng 	有可能	c=12 d=0.000382034 t=50309
you kong 	有空	c=9 d=0.180866 t=50309
you lai 	又來	c=1 d=3.64828e-50 t=50309
you le 	有了	c=1 d=9.55059e-107 t=50309
you li xiang 	有理想	c=1 d=1.45494e-29 t=50309
you li yu 	有利於	c=1 d=1.6201e-88 t=50309
you liang 	優良	c=2 d=2.90592e-100 t=50309
you mei 	優美	c=2 d=5.04847e-48 t=50309
you mei 	又沒	c=1 d=7.50765e-99 t=50309
you mei you 	有沒有	c=5 d=6.54104e-07 t=50309
you ni 	有你	c=1 d=1.47924e-18 t=50309
you qi 	尤其	c=2 d=2.73694e-51 t=50309
you qian 	有錢	c=5 d=0.000205513 t=50309
you qian ren 	有錢人	c=1 d=1.58392e-87 t=50309
you qing ren 	有情人	c=2 d=8.12293e-18 t=50309
you qu 	又去	c=2 d=3.69146e-12 t=50309
you qu 	有趣	c=14 d=1.27827e-06 t=50309
you ren 	有人	c=10 d=0.0635038 t=50309
you sha 	有啥	c=16 d=0.905308 t=50309
you shang jiao 	右上角	c=2 d=1.75485e-28 t=50309
you shi 	優勢	c=3 d=2.94625e-29 t=50309
you shi 	又是	c=3 d=2.44942e-10 t=50309
you shi 	有事	c=3 d=3.81728e-14 t=50309
you shi 	有時	c=1 d=6.57764e-102 t=50309
you shi hou 	有時候	c=7 d=8.11818e-47 t=50309
you shi jian 	有時間	c=1 d=1.02983e-81 t=50309
you shi qing 	有事情	c=1 d=1.27121e-29 t=50309
you tu 	右圖	c=1 d=2.31181e-65 t=50309
you wen ti 	有問題	c=6 d=4.09574e-23 t=50309
you wo 	由我	c=1 d=7.49131e-44 t=50309
you wu 	有無	c=2 d=8.21129e-06 t=50309
you xi 	遊戲	c=13 d=2.62836e-16 t=50309
you xian 	優先	c=4 d=1.34418e-68 t=50309
you xian 	有限	c=1 d=1.35092e-68 t=50309
you xian ji 	優先級	c=1 d=3.70542e-27 t=50309
you xiang 	郵箱	c=4 d=1.27341e-63 t=50309
you xiao 	有效	c=3 d=2.60088e-10 t=50309
you xie 	有些	c=20 d=0.125558 t=50309
you xie ren 	有些人	c=1 d=5.0755e-52 t=50309
you xiu 	優秀	c=9 d=0.00218749 t=50309
you ya 	優雅	c=14 d=1.67499e-33 t=50309
you yao 	又要	c=3 d=1.24193e-49 t=50309
you yi 	有一	c=2 d=8.21391e-39 t=50309
you yi ci 	有一次	c=1 d=6.89985e-47 t=50309
you yi ge 	又一個	c=4 d=8.32237e-17 t=50309
you yi pian 	有一篇	c=1 d=4.58752e-98 t=50309
you yi si 	有意思	c=1 d=3.24531e-26 t=50309
you yi tian 	有一天	c=1 d=9.0024e-88 t=50309
you yi yi 	有意義	c=1 d=3.29818e-69 t=50309
you yong 	有用	c=2 d=3.24908e-69 t=50309
you yong 	游泳	c=3 d=1.18404e-46 t=50309
you you 	又有	c=1 d=9.82672e-60 t=50309
you you yu yu 	猶猶豫豫	c=1 d=0.0169075 t=50309
you yu 	猶豫	c=1 d=5.17803e-52 t=50309
you yu 	由於	c=3 d=1.58812e-30 t=50309
you zhe me 	有這麼	c=1 d=0.000132358 t=50309
you zhi 	優質	c=1 d=1.41806e-21 t=50309
you zhi 	幼稚	c=1 d=1.42516e-21 t=50309
you zhu yu 	有助於	c=2 d=2.1765e-88 t=50309
yu 	於	c=4 d=8.51219e-47 t=50309
yu 	與	c=51 d=0.00438323 t=50309
yu 	語	c=1 d=9.68238e-33 t=50309
yu 	雨	c=16 d=0.00618889 t=50309
yu 	魚	c=1 d=8.92371e-73 t=50309
yu ce 	預測	c=1 d=8.35926e-69 t=50309
yu dao 	遇到	c=4 d=7.04186e-22 t=50309
yu ding 	預訂	c=1 d=9.14835e-42 t=50309
yu e 	餘額	c=2 d=1.59313e-27 t=50309
yu er 	魚兒	c=1 d=4.3559e-18 t=50309
yu fa 	語法	c=13 d=2.6342e-30 t=50309
yu fang 	預防	c=1 d=2.51332e-107 t=50309
yu fang zhen 	預防針	c=1 d=1.83525e-55 t=50309
yu fou 	與否	c=1 d=3.15402e-102 t=50309
yu gao 	預告	c=1 d=1.78313e-69 t=50309
yu ge 	餘個	c=1 d=3.61713e-08 t=50309
yu hou 	雨後	c=1 d=6.74899e-81 t=50309
yu ji 	預計	c=7 d=1.69367e-11 t=50309
yu jian 	遇見	c=28 d=1.28158e-07 t=50309
yu ju 	語句	c=23 d=1.06382e-07 t=50309
yu kuai 	愉快	c=1 d=1.95857e-26 t=50309
yu lan 	預覽	c=1 d=5.24807e-63 t=50309
yu le 	娛樂	c=2 d=0.000202454 t=50309
yu lu 	語錄	c=3 d=2.30368e-96 t=50309
yu mao qiu 	羽毛球	c=2 d=4.15998e-06 t=50309
yu men 	鬱悶	c=1 d=2.90331e-10 t=50309
yu miao 	育苗	c=1 d=2.3002e-94 t=50309
yu ming 	域名	c=4 d=0.00491728 t=50309
yu ni 	與你	c=1 d=5.52466e-79 t=50309
yu pei 	玉佩	c=13 d=0.000231956 t=50309
yu qi 	逾期	c=2 d=1.83161e-81 t=50309
yu qi 	預期	c=8 d=1.01054e-16 t=50309
yu shi 	於是	c=1 d=9.37456e-94 t=50309
yu tian 	雨天	c=2 d=6.1886e-18 t=50309
yu wen 	語文	c=2 d=1.97045 t=49687
yu wo 	與我	c=1 d=6.80892e-38 t=50309
yu yan 	語言	c=15 d=0.0322589 t=50309
yu yan 	預言	c=4 d=0.000725601 t=50309
yu yi 	語義	c=4 d=2.27391e-47 t=50309
yu yue 	預約	c=1 d=2.26372e-53 t=50309
yu zhou 	宇宙	c=1 d=1.13169e-73 t=50309
yuan 	元	c=9 d=1.62805e-28 t=50309
yuan 	原	c=2 d=1.29375e-52 t=50309
yuan 	園	c=1 d=2.65497e-105 t=50309
yuan 	圓	c=3 d=5.00095e-06 t=50309
yuan 	遠	c=6 d=2.41747e-32 t=50309
yuan 	願	c=1 d=0.0617291 t=50309
yuan ben 	原本	c=4 d=0.000189919 t=50309
yuan bu yuan 	遠不遠	c=1 d=2.74954e-105 t=50309
yuan cai liao 	原材料	c=1 d=4.75058e-09 t=50309
yuan chang 	原唱	c=1 d=1 t=49478
yuan cheng 	遠程	c=14 d=1.24842e-14 t=50309
yuan da 	遠大	c=1 d=1.5516e-21 t=50309
yuan di 	原地	c=1 d=1.73438e-37 t=50309
yuan fen 	緣分	c=1 d=3.86465e-22 t=50309
yuan gong 	員工	c=7 d=2.08003e-28 t=50309
yuan gu 	緣故	c=1 d=1.31376e-34 t=50309
yuan guan 	遠觀	c=1 d=7.19733e-73 t=50309
yuan lai 	原來	c=7 d=2.56923e-13 t=50309
yuan li 	原理	c=13 d=2.20432e-31 t=50309
yuan li 	遠離	c=2 d=6.27236e-35 t=50309
yuan ma 	源碼	c=4 d=9.87529e-73 t=50309
yuan qi 	元氣	c=1 d=1 t=49912
yuan qi 	遠期	c=1 d=1 t=49911
yuan shen 	元神	c=2 d=1.0906e-52 t=50309
yuan su 	元素	c=13 d=2.61368e-16 t=50309
yuan xing 	原型	c=5 d=1.18932e-69 t=50309
yuan yi 	願意	c=2 d=0.0031042 t=50309
yuan yin 	原因	c=11 d=7.05042e-08 t=50309
yuan yuan 	遠遠	c=2 d=5.00951e-61 t=50309
yuan ze 	原則	c=6 d=6.10714e-76 t=50309
yuan zhuo 	圓桌	c=1 d=2.88785e-06 t=50309
yue 	悅	c=1 d=3.01861e-27 t=50309
yue 	月	c=32 d=1.75122e-16 t=50309
yue 	約	c=11 d=0.389972 t=50309
yue 	越	c=13 d=0.0168734 t=50309
yue bing 	月餅	c=1 d=0.0578443 t=50309
yue bu dao 	約不到	c=1 d=2.32268e-32 t=50309
yue chou 	越丑	c=1 d=2.14506e-96 t=50309
yue da 	越大	c=1 d=0.865022 t=50309
yue du 	閱讀	c=7 d=1.10137e-07 t=50309
yue fen 	月份	c=2 d=1.0862e-53 t=50309
yue jia 	越加	c=1 d=3.45763e-95 t=50309
yue jie 	月結	c=2 d=8.57582e-17 t=50309
yue jie 	越界	c=2 d=2.4591e-78 t=50309
yue lai 	越來	c=8 d=0.0125801 t=50309
yue ni 	約你	c=1 d=6.37238e-82 t=50309
yue shu 	約束	c=1 d=4.73896e-39 t=50309
yue tan 	約談	c=1 d=8.0203e-82 t=50309
yue xian 	越線	c=1 d=7.088e-40 t=50309
yue xiao 	越小	c=1 d=0.873716 t=50309
yue zou 	越走	c=1 d=0.00419023 t=50309
yun 	允	c=1 d=4.7711e-88 t=50309
yun 	雲	c=6 d=9.30303e-05 t=50309
yun 	韻	c=3 d=9.68733e-39 t=50309
yun bu yun xu 	允不允許	c=1 d=4.3503e-91 t=50309
yun dong 	運動	c=6 d=0.00035874 t=50309
yun jian 	雲肩	c=4 d=2.13675e-21 t=50309
yun qi 	運氣	c=2 d=4.12209e-16 t=50309
yun suan 	運算	c=3 d=5.70432e-36 t=50309
yun suan fu 	運算符	c=1 d=1.6544e-11 t=50309
yun xing 	運行	c=19 d=9.18061e-08 t=50309
yun xu 	允許	c=17 d=7.47392e-10 t=50309
yun ying 	運營	c=2 d=8.4328e-69 t=50309
yun yong 	運用	c=1 d=4.15109e-69 t=50309
za 	咋	c=62 d=0.230528 t=50309
za gao 	咋搞	c=1 d=8.34533e-20 t=50309
za ge 	咋個	c=2 d=1.01788e-32 t=50309
za hui 	雜燴	c=2 d=4.79995e-13 t=50309
za hui shi 	咋回事	c=1 d=4.99807e-77 t=50309
za huo 	雜貨	c=1 d=3.60621e-90 t=50309
za kan 	咋看	c=1 d=3.43933e-62 t=50309
za ke neng 	咋可能	c=11 d=0.00914087 t=50309
za le 	砸了	c=4 d=2.38196e-05 t=50309
za nong 	咋弄	c=1 d=5.90475e-97 t=50309
za shi 	雜事	c=1 d=1.07116e-44 t=50309
za shuo 	雜說	c=1 d=1.25096e-46 t=50309
za xiang 	咋想	c=1 d=1.28858e-71 t=50309
za xiang 	雜項	c=1 d=1.28215e-71 t=50309
za yang 	咋樣	c=23 d=0.286674 t=50309
za zheng 	咋整	c=1 d=3.47885e-20 t=50309
za zheng 	雜症	c=1 d=3.4615e-20 t=50309
za zhong 	雜種	c=1 d=2.85561e-21 t=50309
za zi 	雜字	c=2 d=1.87755e-29 t=50309
zai 	再	c=53 d=0.684525 t=50309
zai 	在	c=376 d=1.44342 t=50309
zai 	載	c=1 d=2.31937e-74 t=50309
zai ci 	再次	c=2 d=3.50474e-19 t=50309
zai deng 	再等	c=1 d=5.28966e-97 t=50309
zai e 	災厄	c=1 d=1 t=49559
zai gan ma 	在幹嘛	c=2 d=0.000800719 t=50309
zai gao 	再高	c=1 d=1.98918e-32 t=50309
zai gao 	在搞	c=1 d=5.28174e-50 t=50309
zai hou 	災後	c=1 d=2.35731e-59 t=50309
zai hu 	在乎	c=2 d=9.43529e-23 t=50309
zai jia 	在家	c=5 d=0.0057994 t=50309
zai jian 	再見	c=3 d=0.000158461 t=50309
zai jie jue 	在解決	c=1 d=1.19816e-68 t=50309
zai kan 	再看	c=1 d=1.48975e-13 t=50309
zai kan 	在看	c=1 d=4.34318e-13 t=50309
zai kan kan 	再看看	c=1 d=1.70565e-17 t=50309
zai lai 	再來	c=1 d=3.1432e-91 t=50309
zai mang 	再忙	c=1 d=1.7142e-17 t=50309
zai na 	在哪	c=8 d=5.13208e-06 t=50309
zai ni 	在你	c=1 d=2.79261e-82 t=50309
zai qian 	在前	c=3 d=3.08377e-35 t=50309
zai shang 	再上	c=1 d=1.4599e-69 t=50309
zai shuo 	再說	c=13 d=0.181783 t=50309
zai wo 	在我	c=1 d=5.31798e-101 t=50309
zai xian 	再現	c=1 d=1.93407e-25 t=50309
zai xian 	在線	c=4 d=1.73492e-57 t=50309
zai xiang mu 	在項目	c=1 d=3.7839e-97 t=50309
zai xie 	在寫	c=1 d=8.39802e-94 t=50309
zai yi ge 	在一個	c=1 d=1.86547e-100 t=50309
zai yi qi 	在一起	c=2 d=0.000703108 t=50309
zai yu 	在於	c=1 d=8.21356e-68 t=50309
zai zhe 	在這	c=1 d=1.45391e-50 t=50309
zai zhi qi jian 	在職期間	c=1 d=6.34818e-96 t=50309
zai zuo 	在做	c=1 d=4.4213e-105 t=50309
zan 	咱	c=2 d=2.09366e-46 t=50309
zan 	讚	c=2 d=7.76144e-09 t=50309
zan cheng 	贊成	c=4 d=8.24632e-21 t=50309
zan cun 	暫存	c=1 d=4.51168e-49 t=50309
zan sheng 	暫升	c=1 d=8.20125e-21 t=50309
zan shi 	暫時	c=19 d=0.276872 t=50309
zan wu 	暫無	c=1 d=2.42193e-83 t=50309
zang 	髒	c=3 d=7.95681e-08 t=50309
zang hua 	髒話	c=1 d=5.2545e-48 t=50309
zang shu ju 	髒數據	c=1 d=4.85547e-60 t=50309
zao 	早	c=14 d=0.000365224 t=50309
zao 	造	c=7 d=1.12819e-46 t=50309
zao an 	早安	c=3 d=8.04878e-06 t=50309
zao an an 	早安安	c=1 d=1.73532e-14 t=50309
zao can 	早餐	c=1 d=9.76246e-71 t=50309
zao cheng 	造成	c=6 d=4.10235e-08 t=50309
zao dian 	早點	c=11 d=0.380983 t=50309
zao dian zou 	早點走	c=2 d=1.04149e-37 t=50309
zao hui 	早會	c=3 d=8.22808e-30 t=50309
zao jiu 	早就	c=7 d=1.07433e-49 t=50309
zao qi 	早起	c=1 d=1.31806e-43 t=50309
zao shang 	早上	c=34 d=0.0504668 t=50309
zao shui 	早睡	c=1 d=3.31133e-57 t=50309
zao shuo 	早說	c=1 d=2.85309e-40 t=50309
zao yang 	遭殃	c=1 d=6.82909e-14 t=50309
zao zao 	早早	c=1 d=1.27958e-18 t=50309
zao zou 	早走	c=2 d=0.404542 t=50309
ze 	則	c=13 d=0.0193512 t=50309
ze shi 	則是	c=1 d=2.48535e-93 t=50309
zei 	賊	c=2 d=4.65399e-45 t=50309
zei jian dan 	賊簡單	c=1 d=7.60582e-46 t=50309
zen jiang 	怎講	c=2 d=1.93803e-49 t=50309
zen me 	怎麼	c=111 d=0.335354 t=50309
zen me yang 	怎麼樣	c=3 d=8.72433e-42 t=50309
zeng jia 	增加	c=9 d=6.28133e-05 t=50309
zeng qiang 	增強	c=3 d=3.72134e-48 t=50309
zha 	扎	c=1 d=8.12077e-52 t=50309
zha 	渣	c=8 d=1.22666e-21 t=50309
zha 	炸	c=0 d=1.6801e-105 t=50309
zha bu qi lai 	炸不起來	c=1 d=1.68851e-104 t=50309
zha pian 	詐騙	c=1 d=1.13682e-38 t=50309
zhai 	摘	c=1 d=1.01294e-63 t=50309
zhan 	佔	c=4 d=1.6658e-33 t=50309
zhan 	棧	c=23 d=6.19904e-05 t=50309
zhan 	沾	c=1 d=1.12612e-15 t=50309
zhan 	站	c=10 d=2.8968e-13 t=50309
zhan chang 	戰場	c=1 d=1.21106e-47 t=50309
zhan qi lai 	站起來	c=2 d=1.94548e-06 t=50309
zhan sha 	斬殺	c=2 d=9.36409e-22 t=50309
zhan shi 	展示	c=11 d=1.00043e-33 t=50309
zhan shi 	戰士	c=1 d=2.42564e-101 t=50309
zhan shu 	戰術	c=1 d=8.92552e-46 t=50309
zhan tie 	粘貼	c=1 d=8.22193e-80 t=50309
zhan yong 	佔用	c=3 d=1.7407e-21 t=50309
zhang 	張	c=10 d=3.14672e-06 t=50309
zhang 	漲	c=5 d=0.524663 t=50309
zhang 	章	c=1 d=1.03661e-70 t=50309
zhang 	長	c=1 d=5.99823e-76 t=50309
zhang da 	長大	c=1 d=2.49407e-46 t=50309
zhang de 	長得	c=2 d=1.22815e-06 t=50309
zhang de hao kan 	長得好看	c=1 d=4.24966e-51 t=50309
zhang de you hao kan 	長得又好看	c=1 d=4.51245e-51 t=50309
zhang gao 	長高	c=1 d=5.68402e-90 t=50309
zhang hao 	帳號	c=31 d=5.16798e-08 t=50309
zhang hu 	賬戶	c=1 d=4.15207e-13 t=50309
zhang mian 	賬面	c=3 d=4.73265e-86 t=50309
zhang pang 	長胖	c=1 d=1.06141e-54 t=50309
zhang pei 	張培	c=2 d=2.15032e-66 t=50309
zhang pei chao 	張培超	c=11 d=0.00381835 t=50309
zhang tao 	張濤	c=12 d=2.10453e-27 t=50309
zhang wo 	掌握	c=7 d=4.17359e-15 t=50309
zhao 	找	c=61 d=0.0151958 t=50309
zhao 	招	c=6 d=2.36349e-31 t=50309
zhao 	昭	c=12 d=1.09907e-27 t=50309
zhao 	照	c=4 d=1.24905e-28 t=50309
zhao 	着	c=2 d=0.0113902 t=50309
zhao 	趙	c=3 d=0.000198445 t=50309
zhao bu dao 	找不到	c=4 d=4.52427e-23 t=50309
zhao cha 	找茬	c=1 d=3.22803e-22 t=50309
zhao chu 	找出	c=3 d=4.86488e-24 t=50309
zhao dao 	找到	c=24 d=0.00018046 t=50309
zhao de dao 	找得到	c=1 d=1.64268e-45 t=50309
zhao ge 	找個	c=4 d=0.173774 t=50309
zhao ge ren 	找個人	c=1 d=2.05179e-73 t=50309
zhao ji 	着急	c=3 d=4.51029e-16 t=50309
zhao le 	找了	c=1 d=5.93532e-99 t=50309
zhao ni 	找你	c=6 d=0.00453922 t=50309
zhao pian 	照片	c=6 d=9.09392e-06 t=50309
zhao ren 	找人	c=1 d=6.2972e-60 t=50309
zhao ta 	找他	c=2 d=2.30119e-72 t=50309
zhao ta 	找她	c=1 d=3.30053e-48 t=50309
zhao wei 	趙薇	c=1 d=0.000129737 t=50309
zhao wo 	找我	c=7 d=2.91131e-27 t=50309
zhao yang 	趙陽	c=1 d=1.7708e-105 t=50309
zhao yi ge 	找一個	c=1 d=2.61242e-62 t=50309
zhao zhao 	找找	c=5 d=2.79716e-13 t=50309
zhao zhe 	照着	c=2 d=1.77835e-88 t=50309
zhe 	着	c=28 d=0.0149208 t=50309
zhe 	者	c=10 d=5.344e-20 t=50309
zhe 	這	c=236 d=1.03489 t=50309
zhe bian 	這邊	c=24 d=0.0256049 t=50309
zhe bo 	這波	c=6 d=0.000395011 t=50309
zhe bu 	這部	c=1 d=1.47162e-16 t=50309
zhe bu shi 	這不是	c=5 d=4.79001e-18 t=50309
zhe cai 	這才	c=3 d=8.04976e-29 t=50309
zhe ci 	這次	c=10 d=0.000506715 t=50309
zhe dao ti 	這道題	c=2 d=0.00806679 t=50309
zhe dong xi 	這東西	c=4 d=6.13461e-17 t=50309
zhe dou shi 	這都是	c=1 d=9.90323e-63 t=50309
zhe fang mian 	這方面	c=1 d=1.40395e-21 t=50309
zhe fen 	這份	c=1 d=2.1147e-46 t=50309
zhe feng jing 	這風景	c=1 d=3.32521e-18 t=50309
zhe ge 	這個	c=29 d=6.34676e-08 t=50309
zhe ge 	這歌	c=1 d=2.5647e-51 t=50309
zhe hua 	這話	c=1 d=4.30275e-50 t=50309
zhe ji ge 	這幾個	c=2 d=0.0685632 t=50309
zhe ji ju 	這幾句	c=1 d=5.95695e-83 t=50309
zhe ji tian 	這幾天	c=1 d=1 t=50085
zhe jia 	這家	c=1 d=1.37676e-85 t=50309
zhe jian shi qing 	這件事情	c=1 d=2.15142e-72 t=50309
zhe jiao 	這叫	c=3 d=2.88579e-27 t=50309
zhe jiu shi 	這就是	c=14 d=9.51538e-08 t=50309
zhe ju 	這句	c=1 d=1.5151e-35 t=50309
zhe ju hua 	這句話	c=1 d=3.47223e-27 t=50309
zhe ke shu 	這棵樹	c=1 d=4.40957e-15 t=50309
zhe kuan 	這款	c=1 d=1.48899e-07 t=50309
zhe li 	這裏	c=33 d=0.774916 t=50309
zhe li mian 	這裏面	c=3 d=3.23473e-17 t=50309
zhe liang ci 	這兩次	c=1 d=2.835e-24 t=50309
zhe liang ge 	這兩個	c=2 d=2.48501e-62 t=50309
zhe liang tian 	這兩天	c=2 d=3.12464e-18 t=50309
zhe luo 	折籮	c=1 d=1.09656e-55 t=50309
zhe me 	這麼	c=25 d=0.00677748 t=50309
zhe me da 	這麼大	c=1 d=9.68868e-70 t=50309
zhe mei 	這枚	c=1 d=1.63054e-46 t=50309
zhe ne 	着呢	c=1 d=5.81027e-25 t=50309
zhe pian 	這篇	c=1 d=1.93427e-85 t=50309
zhe ren 	這人	c=2 d=1.35381e-05 t=50309
zhe san ge 	這三個	c=1 d=2.57344e-91 t=50309
zhe shi 	這是	c=13 d=1.32412e-69 t=50309
zhe shi hou 	這時候	c=4 d=4.2025e-08 t=50309
zhe tiao 	這條	c=1 d=1.03841e-61 t=50309
zhe wan yi 	這玩意	c=2 d=6.86638e-78 t=50309
zhe xia 	這下	c=1 d=3.20278e-106 t=50309
zhe xie 	這些	c=65 d=0.0728036 t=50309
zhe xie tian 	這些天	c=1 d=3.39032e-99 t=50309
zhe xue 	這雪	c=1 d=9.54439e-70 t=50309
zhe yang 	這樣	c=36 d=1.177e-05 t=50309
zhe yang zi 	這樣子	c=2 d=7.60089e-09 t=50309
zhe ye 	者也	c=1 d=1 t=49844
zhe ye 	這也	c=2 d=2.65749e-28 t=50309
zhe yi bo 	這一波	c=1 d=3.51609e-57 t=50309
zhe yi hang 	這一行	c=1 d=6.11461e-08 t=50309
zhe yi jie 	這一屆	c=2 d=8.4706e-40 t=50309
zhe yi kuai 	這一塊	c=3 d=3.49737e-53 t=50309
zhe yi pi 	這一批	c=1 d=8.08852e-64 t=50309
zhe yi tao 	這一套	c=1 d=3.93899e-99 t=50309
zhe you 	這又	c=5 d=3.93736e-06 t=50309
zhe zhi shi 	這只是	c=1 d=2.15105e-70 t=50309
zhe zhong 	這種	c=52 d=0.00496864 t=50309
zhe zhou 	這周	c=5 d=4.41722e-06 t=50309
zhen 	幀	c=2 d=3.6185e-63 t=50309
zhen 	真	c=37 d=0.323062 t=50309
zhen 	針	c=4 d=2.76689e-32 t=50309
zhen 	鎮	c=2 d=1.70822 t=49300
zhen 	陣	c=3 d=9.84906e-40 t=50309
zhen bu cuo 	真不錯	c=4 d=3.34187e-18 t=50309
zhen da 	真大	c=1 d=9.38154e-44 t=50309
zhen de 	真得	c=2 d=3.43058e-63 t=50309
zhen de 	真的	c=43 d=0.044624 t=50309
zhen dong 	真懂	c=1 d=3.21959e-50 t=50309
zhen dui 	針對	c=2 d=2.4748e-43 t=50309
zhen er 	震耳	c=1 d=3.74904e-47 t=50309
zhen hao 	真好	c=2 d=2.38473e-48 t=50309
zhen hao kan 	真好看	c=3 d=1.08417e-43 t=50309
zhen hui 	真會	c=1 d=4.74234e-18 t=50309
zhen ma fan 	真麻煩	c=1 d=1.75742e-104 t=50309
zhen mei 	真沒	c=1 d=3.521e-44 t=50309
zhen nu 	震怒	c=1 d=1.43124e-71 t=50309
zhen shi 	真實	c=6 d=1.56906e-35 t=50309
zhen xi 	珍惜	c=1 d=4.41407e-27 t=50309
zhen xin 	真心	c=1 d=1.38733e-28 t=50309
zhen you 	真有	c=1 d=3.35634e-10 t=50309
zhen ze 	真則	c=1 d=2.09765e-39 t=50309
zhen zheng 	真正	c=3 d=0.00103332 t=50309
zhen zhuo 	斟酌	c=1 d=4.30949e-39 t=50309
zheng 	整	c=15 d=2.05746e-16 t=50309
zheng 	正	c=3 d=2.10817e-39 t=50309
zheng 	證	c=3 d=1.69853e-56 t=50309
zheng chang 	正常	c=12 d=4.55562e-16 t=50309
zheng de 	整得	c=1 d=2.01643e-45 t=50309
zheng dian 	整點	c=3 d=0.486752 t=50309
zheng fu 	正負	c=1 d=1.11731e-99 t=50309
zheng ge 	整個	c=3 d=6.99753e-31 t=50309
zheng he 	整合	c=2 d=8.259e-103 t=50309
zheng jing 	正經	c=2 d=1.49513e-26 t=50309
zheng ke 	整顆	c=1 d=6.41588e-15 t=50309
zheng le 	整了	c=1 d=4.22056e-29 t=50309
zheng li 	整理	c=2 d=6.61535e-81 t=50309
zheng mian 	正面	c=2 d=1.74848e-44 t=50309
zheng neng liang 	正能量	c=2 d=1.29128e-24 t=50309
zheng qian 	掙錢	c=1 d=3.49856e-57 t=50309
zheng qu 	爭取	c=4 d=1.53433e-07 t=50309
zheng que 	正確	c=37 d=0.090718 t=50309
zheng ren 	整人	c=1 d=8.00259e-56 t=50309
zheng shi 	正式	c=4 d=5.45592e-20 t=50309
zheng shi 	正是	c=1 d=3.86165e-101 t=50309
zheng shu 	正數	c=5 d=3.45202e-39 t=50309
zheng ti 	整體	c=11 d=5.67665e-16 t=50309
zheng zai 	正在	c=3 d=8.65142e-32 t=50309
zheng ze 	正則	c=38 d=2.35418e-14 t=50309
zheng zheng 	整整	c=1 d=4.66111e-50 t=50309
zheng zong 	正宗	c=1 d=7.41173e-36 t=50309
zhi 	之	c=6 d=6.21386e-20 t=50309
zhi 	值	c=51 d=0.94955 t=50309
zhi 	只	c=24 d=0.422577 t=50309
zhi 	志	c=1 d=8.53595e-21 t=50309
zhi 	指	c=12 d=2.39236e-18 t=50309
zhi 	治	c=1 d=1.08123e-07 t=50309
zhi 	直	c=5 d=6.22972e-13 t=50309
zhi 	紙	c=2 d=7.46063e-46 t=50309
zhi 	至	c=2 d=7.50513e-95 t=50309
zhi bi 	紙幣	c=1 d=1.00475e-85 t=50309
